ts,phase,level,online,restores,est_npkts
1786576655,disarmed,60.2,1,37,
1786576656,disarmed,61.3,1,37,
1786576657,disarmed,62.3,1,37,
1786576658,disarmed,63.6,1,37,
1786576659,disarmed,64.6,1,37,
1786576660,disarmed,65.4,1,37,
1786576661,disarmed,66.3,1,37,
1786576662,disarmed,67.4,1,37,
1786576663,disarmed,68.3,1,37,
1786576664,disarmed,69.1,1,37,
1786576665,disarmed,69.8,1,37,2276621
1786576666,disarmed,70.6,1,37,
1786576667,disarmed,67.6,1,37,
1786576668,disarmed,65.3,1,37,
1786576669,disarmed,61.1,1,37,
1786576670,disarmed,57.3,1,37,
1786576672,disarmed,54.1,1,37,
1786576673,disarmed,49.5,1,37,
1786576674,disarmed,46.4,1,37,
1786576675,disarmed,43.1,1,37,
1786576676,disarmed,39.9,1,37,
1786576677,disarmed,36.3,1,37,
1786576678,disarmed,33.4,1,37,
1786576679,disarmed,30.9,1,37,
1786576680,disarmed,28.2,1,37,
1786576681,disarmed,26.0,1,37,2279845
1786576682,disarmed,29.4,1,37,
1786576683,disarmed,31.9,1,37,
1786576684,disarmed,34.0,1,37,
1786576685,disarmed,35.9,1,37,
1786576686,disarmed,37.6,1,37,
1786576687,disarmed,40.0,1,37,
1786576688,disarmed,41.6,1,37,
1786576689,disarmed,43.3,1,37,
1786576690,disarmed,45.0,1,37,
1786576691,disarmed,46.4,1,37,
1786576692,disarmed,48.4,1,37,
1786576693,disarmed,49.7,1,37,
1786576694,disarmed,51.1,1,37,
1786576695,disarmed,52.5,1,37,
1786576696,disarmed,53.7,1,37,2283188
1786576697,disarmed,55.4,1,37,
1786576698,disarmed,56.4,1,37,
1786576699,disarmed,57.7,1,37,
1786576700,disarmed,58.7,1,37,
1786576701,disarmed,60.2,1,37,
1786576702,disarmed,61.3,1,37,
1786576703,disarmed,62.2,1,37,
1786576704,disarmed,63.2,1,37,
1786576705,disarmed,64.1,1,37,
1786576706,disarmed,65.3,1,37,
1786576707,disarmed,66.2,1,37,
1786576708,disarmed,67.0,1,37,
1786576709,disarmed,67.8,1,37,
1786576710,disarmed,68.9,1,37,
1786576711,disarmed,69.7,1,37,2286428
1786576712,disarmed,70.5,1,37,
1786576713,disarmed,71.2,1,37,
1786576714,disarmed,66.6,1,37,
1786576715,disarmed,61.2,1,37,
1786576716,disarmed,57.5,1,37,
1786576717,disarmed,54.1,1,37,
1786576718,disarmed,51.0,1,37,
1786576719,disarmed,47.5,1,37,
1786576720,disarmed,43.1,1,37,
1786576721,disarmed,40.2,1,37,
1786576722,disarmed,37.2,1,37,
1786576724,disarmed,34.5,1,37,
1786576725,disarmed,31.7,1,37,
1786576726,disarmed,28.4,1,37,
1786576727,disarmed,25.9,1,37,2289794
1786576728,disarmed,29.3,1,37,
1786576729,disarmed,31.3,1,37,
1786576730,disarmed,33.4,1,37,
1786576731,disarmed,35.9,1,37,
1786576732,disarmed,37.6,1,37,
1786576733,disarmed,39.4,1,37,
1786576734,disarmed,41.1,1,37,
1786576735,disarmed,42.8,1,37,
1786576736,disarmed,44.8,1,37,
1786576737,disarmed,46.5,1,37,
1786576738,disarmed,47.8,1,37,
1786576739,disarmed,49.3,1,37,
1786576740,disarmed,50.6,1,37,
1786576741,disarmed,52.4,1,37,
1786576742,disarmed,53.7,1,37,2293028
1786576743,disarmed,54.9,1,37,
1786576744,disarmed,56.1,1,37,
1786576745,disarmed,57.5,1,37,
1786576746,disarmed,58.7,1,37,
1786576747,disarmed,59.7,1,37,
1786576748,disarmed,60.8,1,37,
1786576749,disarmed,61.8,1,37,
1786576750,disarmed,63.1,1,37,
1786576751,disarmed,64.0,1,37,
1786576752,disarmed,65.0,1,37,
1786576753,disarmed,65.9,1,37,
1786576754,disarmed,67.0,1,37,
1786576755,disarmed,67.9,1,37,
1786576756,disarmed,68.6,1,37,
1786576757,disarmed,69.4,1,37,2296381
1786576758,disarmed,70.2,1,37,
1786576759,disarmed,71.2,1,37,
